date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-01,SKU0001,226,0.0,7,37
2024-01-08,SKU0001,184,0.0,7,37
2024-01-15,SKU0001,151,0.0,7,37
2024-01-22,SKU0001,115,0.0,7,37
2024-01-29,SKU0001,73,0.0,7,37
2024-02-05,SKU0001,65,57.0,7,37
2024-02-12,SKU0001,30,0.0,7,37
2024-02-19,SKU0001,0,0.0,7,37
2024-02-19,SKU0001,0,0.0,7,37
2024-02-26,SKU0001,60,71.0,7,37
2024-03-04,SKU0001,85,53.0,7,37
2024-03-11,SKU0001,38,0.0,7,37
2024-03-18,SKU0001,12,0.0,7,37
2024-03-25,SKU0001,70,63.0,7,37
2024-04-01,SKU0001,40,0.0,7,37
2024-04-08,SKU0001,56,46.0,7,37
2024-04-15,SKU0001,72,66.0,7,37
2024-04-22,SKU0001,30,0.0,7,37
2024-04-29,SKU0001,0,0.0,7,37
2024-05-06,SKU0001,0,0.0,7,37
2024-05-13,SKU0001,0,0.0,7,37
2024-05-20,SKU0001,32,64.0,7,37
2024-05-27,SKU0001,66,51.0,7,37
2024-06-03,SKU0001,26,,7,37
2024-06-10,SKU0001,0,0.0,7,37
2024-06-17,SKU0001,0,0.0,7,37
2024-06-24,SKU0001,58,46.0,7,37
2024-07-01,SKU0001,22,0.0,7,37
2024-07-08,SKU0001,59,63.0,7,37
2024-07-15,SKU0001,86,51.0,7,37
2024-07-22,SKU0001,48,0.0,7,37
2024-07-29,SKU0001,18,0.0,7,37
2024-08-05,SKU0001,0,0.0,7,37
2024-08-12,SKU0001,75,63.0,7,37
2024-08-19,SKU0001,39,0.0,7,37
2024-08-26,SKU0001,38,61.0,7,37
2024-09-02,SKU0001,37,46.0,7,37
2024-09-09,SKU0001,41,50.0,7,37
2024-09-16,SKU0001,5,0.0,7,37
2024-09-23,SKU0001,45,60.0,7,37
2024-09-30,SKU0001,53,55.0,7,37
2024-10-07,SKU0001,75,51.0,7,37
2024-10-14,SKU0001,39,0.0,7,37
2024-10-21,SKU0001,27,64.0,7,37
2024-10-28,SKU0001,0,0.0,7,37
2024-11-04,SKU0001,0,0.0,7,37
2024-11-11,SKU0001,42,54.0,7,37
2024-11-18,SKU0001,13,0.0,7,37
2024-11-25,SKU0001,39,55.0,7,37
2024-12-02,SKU0001,0,0.0,7,37
2024-12-09,SKU0001,52,,7,37
2024-12-16,SKU0001,20,0.0,7,37
2024-12-23,SKU0001,0,0.0,7,37
2024-12-30,SKU0001,48,64.0,7,37
2025-01-06,SKU0001,13,0.0,7,37
2025-01-13,SKU0001,76,59.0,7,37
2025-01-20,SKU0001,45,0.0,7,37
2025-01-27,SKU0001,67,72.0,7,37
2025-02-03,SKU0001,33,0.0,7,37
2025-02-10,SKU0001,48,69.0,7,37
2025-02-17,SKU0001,12,0.0,7,37
2025-02-24,SKU0001,57,51.0,7,37
2025-03-03,SKU0001,64,61.0,7,37
2025-03-10,SKU0001,26,0.0,7,37
2025-03-17,SKU0001,30,52.0,7,37
2025-03-24,SKU0001,27,60.0,7,37
2025-03-31,SKU0001,36,54.0,7,37
2025-04-07,SKU0001,0,0.0,7,37
2025-04-14,SKU0001,0,0.0,7,37
2025-04-21,SKU0001,0,0.0,7,37
2025-04-28,SKU0001,37,49.0,7,37
2025-05-05,SKU0001,4,0.0,7,37
2025-05-12,SKU0001,0,0.0,7,37
2025-05-19,SKU0001,62,63.0,7,37
2025-05-26,SKU0001,52,52.0,7,37
2025-06-02,SKU0001,20,0.0,7,37
2025-06-09,SKU0001,0,0.0,7,37
2025-06-16,SKU0001,0,0.0,7,37
2025-06-23,SKU0001,0,0.0,7,37
2025-06-30,SKU0001,0,0.0,7,37
2025-07-07,SKU0001,0,0.0,7,37
2025-07-14,SKU0001,0,0.0,7,37
2025-07-21,SKU0001,48,,7,37
2025-07-28,SKU0001,59,61.0,7,37
2025-08-04,SKU0001,85,51.0,7,37
2025-08-11,SKU0001,48,0.0,7,37
2025-08-18,SKU0001,16,0.0,7,37
2025-08-25,SKU0001,0,0.0,7,37
2025-09-01,SKU0001,0,0.0,7,37
2025-09-08,SKU0001,0,0.0,7,37
2025-09-15,SKU0001,31,48.0,7,37
2025-09-22,SKU0001,7,0.0,7,37
2025-09-29,SKU0001,36,64.0,7,37
2025-10-06,SKU0001,59,49.0,7,37
2025-10-13,SKU0001,16,0.0,7,37
2025-10-20,SKU0001,41,55.0,7,37
2025-10-27,SKU0001,36,74.0,7,37
2025-11-03,SKU0001,57,52.0,7,37
2025-11-10,SKU0001,20,0.0,7,37
2025-11-17,SKU0001,0,0.0,7,37
2025-11-24,SKU0001,71,59.0,7,37
2025-12-01,SKU0001,43,0.0,7,37
2025-12-08,SKU0001,10,0.0,7,37
2025-12-15,SKU0001,78,67.0,7,37
