sale_date,order_id,sku_id,quantity,unit_price,discount_pct,revenue,customer_id,region,channel,payment_method,shipping_days,order_status,sales_rep,warehouse
2026-06-22,ORD104613,SKU0152,1,210.51,20,168.41,CUST01849,Mansoura,Store,Card,,Cancelled,Mona,WH-05
17/02/2026,ORD100932,SKU0112,3,38.15,0,114.45,CUST01962,Mansoura,Marketplace,Wallet,1.0,Completed,,WH-05
19/03/2026,ORD101096,SKU0038,1,279.23,30,195.46,CUST02322,Tanta,Wholesale,Card,6.0,Completed,Sara,WH-02
07/04/2026,ORD104470,SKU0101,2,157.68,5,299.59,CUST00650,Alexandria,Wholesale,Card,2.0,Completed,Youssef,WH-05
2026-03-12,ORD100715,SKU0037,3,13.98,30,29.36,CUST00919,Giza,Marketplace,,7.0,Completed,Youssef,WH-04
2026-05-29,ORD101646,SKU0007,2,241.48,0,482.96,CUST02640,Aswan,Marketplace,Card,8.0,Completed,Sara,WH-02
18/04/2026,ORD101988,SKU0040,2,94.52,35,122.88,CUST00224,Cairo,Store,,6.0,Completed,Mona,WH-02
2026-01-23,ORD103946,SKU0090,3,262.26,20,-629.42,CUST02620,Giza,Wholesale,Card,1.0,Returned,,WH-05
19/07/2026,ORD103515,SKU0025,5,149.52,0,747.6,CUST01322,Tanta,Store,Card,10.0,Completed,Sara,WH-01
2026-06-09,ORD103007,SKU0041,6,355.47,10,1919.54,CUST02819,Giza,Wholesale,BNPL,,Completed,Ali,WH-03
2026-05-11,ORD104120,SKU0189,2,198.52,0,397.04,CUST01972,Alexandria,Online,Card,8.0,Completed,,WH-05
12/05/2026,ORD104889,SKU0178,2,35.04,20,56.06,CUST00859,Giza,Wholesale,,4.0,Completed,Youssef,WH-03
02/05/2026,ORD102799,SKU0139,3,323.32,5,921.46,CUST00136,Giza,Online,Wallet,5.0,Completed,Mona,WH-01
2026-01-22,ORD101088,SKU0077,6,59.04,30,247.97,CUST00795,Luxor,Online,BNPL,8.0,Completed,Omar,WH-02
03/07/2026,ORD100645,SKU0172,2,65.45,45,72.0,CUST01596,Cairo,Store,Cash,8.0,Completed,Ali,WH-04
2026-03-06,ORD101748,SKU0035,1,46.07,5,43.77,CUST01603,Tanta,Store,BNPL,8.0,Completed,,WH-04
04/05/2026,ORD103243,SKU0124,1,214.04,30,-149.83,CUST01033,Luxor,Store,,10.0,Returned,,WH-03
16/06/2026,ORD104856,SKU0096,1,50.26,5,47.75,CUST00055,Alexandria,Online,,10.0,Completed,Sara,WH-05
2026-03-04,ORD100644,SKU0077,4,55.48,0,221.92,CUST02109,Cairo,Store,BNPL,6.0,Completed,Mona,WH-02
03/05/2026,ORD103071,SKU0005,1,247.6,15,210.46,CUST01207,Luxor,Online,Cash,8.0,Completed,Mona,WH-03
05/09/2026,ORD100886,SKU0096,4,55.96,15,190.26,CUST02384,Aswan,Marketplace,,9.0,Completed,,WH-02
2026-03-30,ORD104977,SKU0073,1,77.31,35,50.25,CUST02057,Mansoura,Wholesale,,10.0,Completed,Omar,WH-02
04/14/2026,ORD102043,SKU0198,3,170.01,45,280.52,CUST02062,Tanta,Store,Cash,5.0,Completed,Mona,WH-05
02/04/2026,ORD102256,SKU0109,4,152.34,10,548.42,CUST02717,Tanta,Wholesale,,2.0,Completed,Sara,WH-02
07/11/2026,ORD103848,SKU0057,1,375.68,5,356.9,CUST00140,Luxor,Store,Cash,5.0,Completed,Sara,WH-04
01/22/2026,ORD104046,SKU0094,1,302.67,5,287.54,CUST01615,Aswan,Marketplace,Wallet,7.0,Completed,,WH-02
2026-06-07,ORD100272,SKU0158,50,331.47,45,9115.43,CUST01998,Luxor,Wholesale,BNPL,10.0,Completed,Omar,WH-05
2026-03-26,ORD102316,SKU0148,3,57.35,20,137.64,CUST01217,Aswan,Marketplace,Wallet,7.0,Completed,Youssef,WH-02
12/01/2026,ORD100932,SKU0104,2,52.93,30,74.1,CUST02802,Mansoura,Store,Cash,,Completed,Omar,WH-01
31/05/2026,ORD103677,SKU0030,5,22.87,10,102.92,CUST01930,Luxor,Marketplace,Card,1.0,Completed,Ali,WH-02
