sale_date,order_id,sku_id,quantity,unit_price,discount_pct,revenue,customer_id,region,channel,payment_method,shipping_days,order_status,sales_rep,warehouse
2026-06-22,ORD104613,SKU0152,1,210.51,20,168.41,CUST01849,MANSOURA,STORE,CARD,0.0,CANCELLED,MONA,WH-05
2026-02-17,ORD100932,SKU0112,3,38.15,0,114.45,CUST01962,MANSOURA,MARKETPLACE,WALLET,1.0,COMPLETED,UNKNOWN,WH-05
2026-03-19,ORD101096,SKU0038,1,279.23,30,195.46,CUST02322,TANTA,WHOLESALE,CARD,6.0,COMPLETED,SARA,WH-02
2026-07-04,ORD104470,SKU0101,2,157.68,5,299.59,CUST00650,ALEXANDRIA,WHOLESALE,CARD,2.0,COMPLETED,YOUSSEF,WH-05
2026-03-12,ORD100715,SKU0037,3,13.98,30,29.36,CUST00919,GIZA,MARKETPLACE,UNKNOWN,7.0,COMPLETED,YOUSSEF,WH-04
2026-05-29,ORD101646,SKU0007,2,241.48,0,482.96,CUST02640,ASWAN,MARKETPLACE,CARD,8.0,COMPLETED,SARA,WH-02
2026-04-18,ORD101988,SKU0040,2,94.52,35,122.88,CUST00224,CAIRO,STORE,UNKNOWN,6.0,COMPLETED,MONA,WH-02
2026-01-23,ORD103946,SKU0090,3,262.26,20,629.42,CUST02620,GIZA,WHOLESALE,CARD,1.0,RETURNED,UNKNOWN,WH-05
2026-07-19,ORD103515,SKU0025,5,149.52,0,747.6,CUST01322,TANTA,STORE,CARD,10.0,COMPLETED,SARA,WH-01
2026-06-09,ORD103007,SKU0041,6,355.47,10,1919.54,CUST02819,GIZA,WHOLESALE,BNPL,0.0,COMPLETED,ALI,WH-03
2026-05-11,ORD104120,SKU0189,2,198.52,0,397.04,CUST01972,ALEXANDRIA,ONLINE,CARD,8.0,COMPLETED,UNKNOWN,WH-05
2026-02-05,ORD102799,SKU0139,3,323.32,5,921.46,CUST00136,GIZA,ONLINE,WALLET,5.0,COMPLETED,MONA,WH-01
2026-01-22,ORD101088,SKU0077,6,59.04,30,247.97,CUST00795,LUXOR,ONLINE,BNPL,8.0,COMPLETED,OMAR,WH-02
2026-03-07,ORD100645,SKU0172,2,65.45,45,72.0,CUST01596,CAIRO,STORE,CASH,8.0,COMPLETED,ALI,WH-04
2026-03-06,ORD101748,SKU0035,1,46.07,5,43.77,CUST01603,TANTA,STORE,BNPL,8.0,COMPLETED,UNKNOWN,WH-04
2026-04-05,ORD103243,SKU0124,1,214.04,30,149.83,CUST01033,LUXOR,STORE,UNKNOWN,10.0,RETURNED,UNKNOWN,WH-03
2026-06-16,ORD104856,SKU0096,1,50.26,5,47.75,CUST00055,ALEXANDRIA,ONLINE,UNKNOWN,10.0,COMPLETED,SARA,WH-05
2026-03-04,ORD100644,SKU0077,4,55.48,0,221.92,CUST02109,CAIRO,STORE,BNPL,6.0,COMPLETED,MONA,WH-02
2026-03-05,ORD103071,SKU0005,1,247.6,15,210.46,CUST01207,LUXOR,ONLINE,CASH,8.0,COMPLETED,MONA,WH-03
2026-05-09,ORD100886,SKU0096,4,55.96,15,190.26,CUST02384,ASWAN,MARKETPLACE,UNKNOWN,9.0,COMPLETED,UNKNOWN,WH-02
2026-03-30,ORD104977,SKU0073,1,77.31,35,50.25,CUST02057,MANSOURA,WHOLESALE,UNKNOWN,10.0,COMPLETED,OMAR,WH-02
2026-04-14,ORD102043,SKU0198,3,170.01,45,280.52,CUST02062,TANTA,STORE,CASH,5.0,COMPLETED,MONA,WH-05
2026-02-04,ORD102256,SKU0109,4,152.34,10,548.42,CUST02717,TANTA,WHOLESALE,UNKNOWN,2.0,COMPLETED,SARA,WH-02
2026-07-11,ORD103848,SKU0057,1,375.68,5,356.9,CUST00140,LUXOR,STORE,CASH,5.0,COMPLETED,SARA,WH-04
2026-01-22,ORD104046,SKU0094,1,302.67,5,287.54,CUST01615,ASWAN,MARKETPLACE,WALLET,7.0,COMPLETED,UNKNOWN,WH-02
2026-06-07,ORD100272,SKU0158,50,331.47,45,9115.43,CUST01998,LUXOR,WHOLESALE,BNPL,10.0,COMPLETED,OMAR,WH-05
2026-03-26,ORD102316,SKU0148,3,57.35,20,137.64,CUST01217,ASWAN,MARKETPLACE,WALLET,7.0,COMPLETED,YOUSSEF,WH-02
2026-05-31,ORD103677,SKU0030,5,22.87,10,102.92,CUST01930,LUXOR,MARKETPLACE,CARD,1.0,COMPLETED,ALI,WH-02
2026-01-18,ORD101362,SKU0075,1,24.39,20,19.51,CUST02335,TANTA,WHOLESALE,BNPL,4.0,COMPLETED,SARA,WH-01
2026-07-21,ORD100147,SKU0099,1,316.47,25,237.35,CUST01174,CAIRO,MARKETPLACE,CARD,0.0,COMPLETED,SARA,WH-02
2026-06-28,ORD101382,SKU0040,3,105.99,35,206.68,CUST02056,ASWAN,ONLINE,BNPL,6.0,COMPLETED,OMAR,WH-01
2026-01-03,ORD100947,SKU0156,1,123.1,0,123.1,CUST01088,ASWAN,ONLINE,BNPL,3.0,COMPLETED,UNKNOWN,WH-03
2026-02-02,ORD102499,SKU0058,2,299.8,35,389.74,CUST02136,ALEXANDRIA,WHOLESALE,CASH,10.0,COMPLETED,MONA,WH-05
2026-05-01,ORD100922,SKU0165,2,120.87,0,241.74,CUST01867,ALEXANDRIA,STORE,UNKNOWN,7.0,COMPLETED,MONA,WH-04
2026-03-19,ORD100327,SKU0130,2,153.97,10,277.15,CUST02846,GIZA,ONLINE,UNKNOWN,3.0,RETURNED,ALI,WH-05
2026-05-14,ORD104929,SKU0083,4,51.1,45,112.42,CUST00273,CAIRO,WHOLESALE,WALLET,9.0,COMPLETED,ALI,WH-03
2026-01-27,ORD103457,SKU0152,1,208.8,35,135.72,CUST01190,GIZA,WHOLESALE,CARD,3.0,COMPLETED,SARA,WH-04
2026-01-19,ORD102310,SKU0101,5,170.84,20,683.36,CUST02283,GIZA,ONLINE,WALLET,9.0,COMPLETED,SARA,WH-05
2026-05-13,ORD102476,SKU0162,1,196.08,10,176.47,CUST01163,LUXOR,STORE,UNKNOWN,1.0,COMPLETED,YOUSSEF,WH-03
2026-01-23,ORD100631,SKU0146,3,13.9,20,33.36,CUST01858,MANSOURA,WHOLESALE,CASH,10.0,COMPLETED,SARA,WH-01
2026-01-07,ORD103393,SKU0094,2,290.56,5,552.06,CUST01900,MANSOURA,STORE,CASH,0.0,COMPLETED,OMAR,WH-02
2026-06-30,ORD104081,SKU0146,6,13.07,10,70.58,CUST01125,TANTA,WHOLESALE,CARD,7.0,COMPLETED,UNKNOWN,WH-01
2026-03-01,ORD102019,SKU0135,2,124.94,25,187.41,CUST00167,ALEXANDRIA,MARKETPLACE,WALLET,1.0,COMPLETED,YOUSSEF,WH-02
2026-03-20,ORD104298,SKU0114,1,320.3,20,256.24,CUST02524,MANSOURA,STORE,CASH,8.0,COMPLETED,UNKNOWN,WH-04
2026-06-26,ORD101736,SKU0169,1,356.92,45,196.31,CUST02234,ASWAN,WHOLESALE,BNPL,0.0,CANCELLED,ALI,WH-04
2026-06-26,ORD104696,SKU0094,4,320.69,20,1026.21,CUST00135,TANTA,ONLINE,CASH,2.0,COMPLETED,YOUSSEF,WH-03
2026-02-15,ORD101020,SKU0095,1,168.36,20,134.69,CUST00369,GIZA,STORE,CARD,3.0,COMPLETED,UNKNOWN,WH-03
2026-06-12,ORD101151,SKU0119,2,68.95,0,137.9,CUST00839,ALEXANDRIA,WHOLESALE,WALLET,5.0,COMPLETED,UNKNOWN,WH-05
2026-02-03,ORD104057,SKU0169,2,338.89,30,474.45,CUST00064,ASWAN,STORE,UNKNOWN,7.0,COMPLETED,UNKNOWN,WH-01
2026-02-18,ORD101241,SKU0170,1,136.46,45,75.05,CUST01296,LUXOR,MARKETPLACE,UNKNOWN,1.0,COMPLETED,MONA,WH-04
2026-06-27,ORD100286,SKU0188,3,28.3,15,72.17,CUST02222,ASWAN,MARKETPLACE,UNKNOWN,8.0,COMPLETED,SARA,WH-01
2026-05-03,ORD102543,SKU0167,3,10.26,15,26.16,CUST02440,LUXOR,MARKETPLACE,UNKNOWN,6.0,COMPLETED,ALI,WH-04
2026-05-18,ORD101328,SKU0108,2,196.71,25,295.06,CUST01355,ALEXANDRIA,ONLINE,CARD,2.0,COMPLETED,UNKNOWN,WH-04
2026-03-17,ORD103137,SKU0067,4,49.65,20,158.88,CUST02955,TANTA,MARKETPLACE,BNPL,1.0,COMPLETED,YOUSSEF,WH-05
2026-04-03,ORD103807,SKU0022,1,28.15,10,25.34,CUST01178,LUXOR,STORE,BNPL,6.0,COMPLETED,SARA,WH-04
2026-02-14,ORD102377,SKU0089,1,219.86,10,197.87,CUST00571,ALEXANDRIA,MARKETPLACE,BNPL,7.0,COMPLETED,YOUSSEF,WH-01
2026-03-28,ORD104649,SKU0036,3,220.26,45,363.43,CUST01237,TANTA,MARKETPLACE,BNPL,0.0,COMPLETED,UNKNOWN,WH-02
2026-04-03,ORD104775,SKU0161,5,234.89,25,880.84,CUST01413,MANSOURA,WHOLESALE,CASH,5.0,COMPLETED,UNKNOWN,WH-01
2026-06-26,ORD103187,SKU0106,2,231.36,30,323.9,CUST01425,GIZA,WHOLESALE,CASH,6.0,COMPLETED,ALI,WH-02
2026-01-24,ORD101910,SKU0054,2,176.14,15,299.44,CUST00492,TANTA,MARKETPLACE,CASH,9.0,COMPLETED,MONA,WH-01
2026-06-08,ORD100388,SKU0051,2,21.9,5,41.61,CUST00023,GIZA,STORE,WALLET,9.0,COMPLETED,UNKNOWN,WH-01
2026-01-02,ORD104779,SKU0068,4,300.89,35,782.31,CUST01461,TANTA,STORE,CASH,3.0,COMPLETED,YOUSSEF,WH-03
2026-06-06,ORD104773,SKU0046,6,62.23,35,242.7,CUST01969,MANSOURA,ONLINE,CASH,9.0,COMPLETED,UNKNOWN,WH-04
2026-03-29,ORD104361,SKU0064,3,357.22,5,1018.08,CUST02626,ASWAN,WHOLESALE,CASH,6.0,COMPLETED,OMAR,WH-04
2026-01-26,ORD102636,SKU0103,2,140.47,0,280.94,CUST00616,LUXOR,STORE,BNPL,7.0,COMPLETED,SARA,WH-05
2026-03-22,ORD104843,SKU0151,6,30.15,20,144.72,CUST01179,CAIRO,ONLINE,BNPL,8.0,COMPLETED,ALI,WH-02
2025-12-30,ORD103351,SKU0084,2,97.9,35,127.27,CUST00445,CAIRO,MARKETPLACE,CARD,4.0,COMPLETED,OMAR,WH-04
2026-01-26,ORD102931,SKU0161,3,217.75,5,620.59,CUST01950,LUXOR,ONLINE,WALLET,4.0,COMPLETED,ALI,WH-04
2025-12-26,ORD102520,SKU0101,1,157.91,20,126.33,CUST02530,TANTA,WHOLESALE,BNPL,1.0,RETURNED,UNKNOWN,WH-01
2026-04-08,ORD102459,SKU0072,1,161.95,45,89.07,CUST01327,ASWAN,MARKETPLACE,BNPL,8.0,COMPLETED,YOUSSEF,WH-01
2026-03-27,ORD103966,SKU0018,1,428.99,30,300.29,CUST02270,GIZA,STORE,BNPL,10.0,COMPLETED,MONA,WH-05
2026-02-22,ORD103248,SKU0196,2,361.76,15,614.99,CUST00087,GIZA,WHOLESALE,CARD,6.0,COMPLETED,OMAR,WH-03
2026-06-23,ORD100759,SKU0041,2,361.58,25,542.37,CUST02183,ASWAN,ONLINE,UNKNOWN,10.0,COMPLETED,MONA,WH-04
2026-07-18,ORD100063,SKU0171,3,184.08,10,497.02,CUST01095,LUXOR,STORE,CASH,10.0,COMPLETED,SARA,WH-04
2026-07-14,ORD101286,SKU0041,5,350.24,15,1488.52,CUST00985,ASWAN,MARKETPLACE,UNKNOWN,10.0,COMPLETED,ALI,WH-03
2025-12-29,ORD100277,SKU0070,1,187.69,20,150.15,CUST02719,LUXOR,STORE,UNKNOWN,8.0,COMPLETED,ALI,WH-05
2026-01-03,ORD102540,SKU0069,4,200.57,30,561.6,CUST02537,MANSOURA,WHOLESALE,BNPL,0.0,COMPLETED,YOUSSEF,WH-04
2026-03-17,ORD103131,SKU0160,5,55.84,35,181.48,CUST00117,MANSOURA,ONLINE,BNPL,1.0,CANCELLED,ALI,WH-04
2026-01-20,ORD103896,SKU0077,1,63.95,5,60.75,CUST00770,GIZA,ONLINE,BNPL,2.0,COMPLETED,YOUSSEF,WH-04
2026-04-02,ORD103233,SKU0163,2,415.69,15,706.67,CUST01361,CAIRO,MARKETPLACE,UNKNOWN,8.0,COMPLETED,SARA,WH-03
2026-06-14,ORD103078,SKU0135,2,116.31,25,174.46,CUST02095,TANTA,MARKETPLACE,CARD,0.0,COMPLETED,ALI,WH-05
2026-04-05,ORD100285,SKU0042,1,82.45,20,65.96,CUST01441,MANSOURA,MARKETPLACE,CARD,3.0,COMPLETED,OMAR,WH-03
2026-06-15,ORD104823,SKU0083,6,48.25,25,217.12,CUST01017,GIZA,STORE,UNKNOWN,2.0,COMPLETED,OMAR,WH-05
2026-02-25,ORD100848,SKU0052,1,117.12,5,111.26,CUST01752,TANTA,ONLINE,CARD,3.0,COMPLETED,YOUSSEF,WH-04
2026-04-27,ORD104987,SKU0010,1,143.37,25,107.53,CUST02134,MANSOURA,WHOLESALE,CASH,10.0,COMPLETED,UNKNOWN,WH-01
2026-07-08,ORD103362,SKU0006,2,21.2,45,23.32,CUST01334,ASWAN,WHOLESALE,CARD,1.0,COMPLETED,SARA,WH-02
2026-06-01,ORD101521,SKU0140,1,296.42,10,266.78,CUST00510,ALEXANDRIA,STORE,BNPL,1.0,COMPLETED,OMAR,WH-05
2026-07-02,ORD103104,SKU0089,1,242.79,10,218.51,CUST00082,LUXOR,ONLINE,CARD,5.0,COMPLETED,SARA,WH-01
2026-02-24,ORD100199,SKU0005,2,255.3,0,510.6,CUST00998,LUXOR,ONLINE,CARD,3.0,COMPLETED,SARA,WH-03
2026-07-03,ORD103790,SKU0184,4,441.71,25,1325.13,CUST01227,GIZA,STORE,CARD,3.0,COMPLETED,SARA,WH-04
2026-03-19,ORD100378,SKU0074,1,226.57,15,192.58,CUST02123,MANSOURA,ONLINE,WALLET,1.0,RETURNED,ALI,WH-05
2026-02-13,ORD103319,SKU0167,1,10.06,10,9.05,CUST02033,LUXOR,MARKETPLACE,UNKNOWN,4.0,COMPLETED,SARA,WH-05
2026-04-15,ORD100283,SKU0169,4,343.46,20,1099.07,CUST02866,GIZA,WHOLESALE,BNPL,2.0,RETURNED,UNKNOWN,WH-03
2026-02-17,ORD100540,SKU0195,1,325.47,35,211.56,CUST02855,TANTA,WHOLESALE,WALLET,4.0,COMPLETED,SARA,WH-03
2026-01-24,ORD100683,SKU0130,3,162.83,20,390.79,CUST00004,GIZA,WHOLESALE,WALLET,9.0,COMPLETED,MONA,WH-02
2026-03-29,ORD100136,SKU0095,5,156.35,35,508.14,CUST02076,MANSOURA,STORE,CASH,5.0,COMPLETED,ALI,WH-04
2026-07-23,ORD100549,SKU0112,2,39.73,30,55.62,CUST00143,CAIRO,ONLINE,WALLET,4.0,COMPLETED,SARA,WH-05
2026-05-19,ORD100491,SKU0114,3,315.34,45,520.31,CUST00681,TANTA,ONLINE,UNKNOWN,9.0,COMPLETED,OMAR,WH-04
2026-03-19,ORD102505,SKU0159,3,119.03,30,249.96,CUST02397,GIZA,MARKETPLACE,BNPL,1.0,COMPLETED,OMAR,WH-02
2026-05-02,ORD104222,SKU0132,3,61.86,45,102.07,CUST00673,TANTA,MARKETPLACE,WALLET,8.0,COMPLETED,YOUSSEF,WH-03
2026-04-17,ORD104794,SKU0140,1,329.95,5,313.45,CUST01861,CAIRO,ONLINE,CARD,0.0,COMPLETED,OMAR,WH-03
2026-01-11,ORD104496,SKU0100,6,390.77,25,1758.46,CUST02993,TANTA,ONLINE,WALLET,0.0,COMPLETED,YOUSSEF,WH-02
2026-03-19,ORD100765,SKU0017,1,43.27,45,23.8,CUST02447,TANTA,WHOLESALE,UNKNOWN,9.0,COMPLETED,UNKNOWN,WH-03
2026-03-19,ORD101182,SKU0058,1,304.07,20,243.26,CUST02505,TANTA,STORE,WALLET,9.0,COMPLETED,SARA,WH-05
2026-02-22,ORD101409,SKU0032,1,266.42,45,146.53,CUST01397,GIZA,MARKETPLACE,CASH,9.0,COMPLETED,OMAR,WH-05
2026-04-21,ORD100295,SKU0168,2,16.86,10,30.35,CUST02627,ALEXANDRIA,WHOLESALE,BNPL,2.0,RETURNED,SARA,WH-05
2026-06-20,ORD102626,SKU0128,3,66.19,30,139.0,CUST00445,LUXOR,MARKETPLACE,BNPL,4.0,COMPLETED,ALI,WH-01
2026-07-02,ORD102092,SKU0102,3,89.93,20,215.83,CUST00336,TANTA,STORE,CARD,5.0,COMPLETED,UNKNOWN,WH-03
2026-07-15,ORD104520,SKU0031,3,118.02,20,283.25,CUST02287,CAIRO,ONLINE,CASH,8.0,COMPLETED,ALI,WH-05
2026-03-24,ORD103397,SKU0111,2,265.4,45,291.94,CUST01552,MANSOURA,WHOLESALE,BNPL,1.0,COMPLETED,YOUSSEF,WH-04
2026-02-02,ORD102013,SKU0085,1,27.08,45,14.89,CUST00270,MANSOURA,WHOLESALE,BNPL,7.0,COMPLETED,OMAR,WH-04
2026-04-29,ORD100935,SKU0199,2,272.63,30,381.68,CUST02099,TANTA,MARKETPLACE,CASH,0.0,COMPLETED,ALI,WH-01
2026-04-21,ORD103982,SKU0066,3,134.25,0,402.75,CUST00768,TANTA,STORE,UNKNOWN,7.0,CANCELLED,UNKNOWN,WH-04
2026-06-30,ORD103583,SKU0173,1,154.54,5,146.81,CUST02925,MANSOURA,STORE,WALLET,3.0,COMPLETED,MONA,WH-02
2026-06-19,ORD101912,SKU0166,4,165.96,5,630.65,CUST00143,MANSOURA,MARKETPLACE,WALLET,1.0,COMPLETED,ALI,WH-01
2026-01-15,ORD102101,SKU0181,4,157.36,25,472.08,CUST00136,ASWAN,WHOLESALE,BNPL,1.0,COMPLETED,MONA,WH-01
2026-02-03,ORD101732,SKU0029,4,33.83,30,94.72,CUST02001,LUXOR,STORE,CARD,10.0,COMPLETED,MONA,WH-02
2026-02-17,ORD103736,SKU0045,1,328.78,35,213.71,CUST01092,CAIRO,WHOLESALE,BNPL,2.0,COMPLETED,OMAR,WH-02
2026-01-11,ORD100077,SKU0090,5,256.44,45,705.21,CUST01540,CAIRO,MARKETPLACE,WALLET,1.0,COMPLETED,SARA,WH-04
2026-04-05,ORD102204,SKU0025,1,164.71,25,123.53,CUST02557,TANTA,ONLINE,CARD,2.0,COMPLETED,UNKNOWN,WH-04
2026-01-06,ORD104040,SKU0039,1,186.4,15,158.44,CUST01741,CAIRO,ONLINE,CARD,7.0,COMPLETED,MONA,WH-04
2026-05-07,ORD101078,SKU0145,1,122.37,35,79.54,CUST00403,LUXOR,MARKETPLACE,WALLET,8.0,COMPLETED,ALI,WH-05
2026-03-07,ORD102728,SKU0176,3,216.31,45,356.91,CUST01432,MANSOURA,MARKETPLACE,BNPL,1.0,COMPLETED,MONA,WH-03
2026-01-08,ORD102284,SKU0170,1,137.66,0,137.66,CUST00819,LUXOR,WHOLESALE,BNPL,4.0,COMPLETED,ALI,WH-03
2026-07-18,ORD100171,SKU0032,1,256.01,45,140.81,CUST02518,ASWAN,ONLINE,WALLET,5.0,COMPLETED,UNKNOWN,WH-02
