sku_id,Month_date,quantity
SKU0001,2025-12,6
SKU0001,2026-01,4
SKU0001,2026-02,7
SKU0001,2026-03,5
SKU0001,2026-04,8
SKU0001,2026-05,1
SKU0001,2026-06,3
SKU0001,2026-07,18
SKU0002,2026-01,22
SKU0002,2026-02,4
SKU0002,2026-03,3
SKU0002,2026-04,3
SKU0002,2026-05,8
SKU0002,2026-06,5
SKU0002,2026-07,9
SKU0003,2026-02,1
SKU0003,2026-03,6
SKU0003,2026-04,11
SKU0003,2026-05,5
SKU0003,2026-06,6
SKU0003,2026-07,17
SKU0004,2026-01,8
SKU0004,2026-02,2
SKU0004,2026-03,20
SKU0004,2026-04,8
SKU0004,2026-05,19
SKU0004,2026-06,17
SKU0004,2026-07,2
SKU0005,2025-12,5
SKU0005,2026-01,2
SKU0005,2026-02,3
SKU0005,2026-03,5
SKU0005,2026-04,13
SKU0005,2026-05,15
SKU0005,2026-06,3
SKU0005,2026-07,2
SKU0006,2025-12,6
SKU0006,2026-01,8
SKU0006,2026-02,1
SKU0006,2026-03,1
SKU0006,2026-04,7
SKU0006,2026-05,10
SKU0006,2026-06,15
SKU0006,2026-07,10
SKU0007,2025-12,3
SKU0007,2026-01,14
SKU0007,2026-02,6
SKU0007,2026-03,10
SKU0007,2026-04,2
SKU0007,2026-05,4
SKU0007,2026-06,5
SKU0007,2026-07,6
SKU0008,2025-12,2
SKU0008,2026-01,2
SKU0008,2026-02,8
SKU0008,2026-03,4
SKU0008,2026-04,3
SKU0008,2026-05,10
SKU0008,2026-06,14
SKU0008,2026-07,4
SKU0009,2026-01,8
SKU0009,2026-02,6
SKU0009,2026-03,7
SKU0009,2026-04,19
SKU0009,2026-05,10
SKU0009,2026-06,7
SKU0009,2026-07,6
SKU0010,2026-01,4
SKU0010,2026-02,11
SKU0010,2026-03,6
SKU0010,2026-04,16
SKU0010,2026-05,17
SKU0010,2026-06,15
SKU0010,2026-07,11
SKU0011,2026-01,4
SKU0011,2026-02,9
SKU0011,2026-03,3
SKU0011,2026-04,4
SKU0011,2026-05,7
SKU0011,2026-06,7
SKU0011,2026-07,6
SKU0012,2026-01,12
SKU0012,2026-02,4
SKU0012,2026-03,6
SKU0012,2026-05,7
SKU0012,2026-06,8
SKU0012,2026-07,6
SKU0013,2026-01,9
SKU0013,2026-02,15
SKU0013,2026-03,2
SKU0013,2026-05,12
SKU0013,2026-06,7
SKU0013,2026-07,13
SKU0014,2026-01,12
SKU0014,2026-02,8
SKU0014,2026-03,5
SKU0014,2026-04,18
SKU0014,2026-05,5
SKU0014,2026-06,22
SKU0014,2026-07,5
SKU0015,2025-12,3
SKU0015,2026-01,7
SKU0015,2026-03,56
SKU0015,2026-04,1
SKU0015,2026-05,11
SKU0015,2026-06,6
SKU0015,2026-07,3
SKU0016,2026-01,3
SKU0016,2026-02,22
SKU0016,2026-03,8
SKU0016,2026-05,10
SKU0016,2026-06,10
SKU0016,2026-07,15
SKU0017,2026-01,9
