sku_id,date,Total_stock
SKU0001,2025-12-29,97.0
SKU0002,2025-12-29,16.0
SKU0003,2025-12-29,11.0
SKU0004,2025-12-29,135.0
SKU0005,2025-12-29,101.0
SKU0006,2025-12-29,441.0
SKU0007,2025-12-29,85.0
SKU0008,2025-12-29,175.0
SKU0009,2025-12-29,163.0
SKU0010,2025-12-29,493.0
SKU0011,2025-12-29,121.0
SKU0012,2025-12-29,100.0
SKU0013,2025-12-29,238.0
SKU0014,2025-12-29,173.0
SKU0015,2025-12-29,244.0
SKU0016,2025-12-29,536.0
SKU0017,2025-12-29,35.0
SKU0018,2025-12-29,410.0
SKU0019,2025-12-29,72.0
SKU0020,2025-12-29,186.0
SKU0021,2025-12-29,427.0
SKU0022,2025-12-29,0.0
SKU0023,2025-12-29,0.0
SKU0024,2025-12-29,775.0
SKU0025,2025-12-29,120.0
SKU0026,2025-12-29,385.0
SKU0027,2025-12-29,0.0
SKU0028,2025-12-29,0.0
SKU0029,2025-12-29,417.0
SKU0030,2025-12-29,0.0
SKU0031,2025-12-29,411.0
SKU0032,2025-12-29,406.0
SKU0033,2025-12-29,36.0
SKU0034,2025-12-29,167.0
SKU0035,2025-12-29,123.0
SKU0036,2025-12-29,79.0
SKU0037,2025-12-29,34.0
SKU0038,2025-12-29,513.0
SKU0039,2025-12-29,127.0
SKU0040,2025-12-29,704.0
SKU0041,2025-12-29,69.0
SKU0042,2025-12-29,541.0
SKU0043,2025-12-29,34.0
SKU0044,2025-12-29,423.0
SKU0045,2025-12-29,739.0
SKU0046,2025-12-29,738.0
SKU0047,2025-12-29,0.0
SKU0048,2025-12-29,327.0
SKU0049,2025-12-29,0.0
SKU0050,2025-12-29,565.0
SKU0051,2025-12-29,277.0
SKU0052,2025-12-29,365.0
SKU0053,2025-12-29,844.0
SKU0054,2025-12-29,39.0
SKU0055,2025-12-29,192.0
SKU0056,2025-12-29,141.0
SKU0057,2025-12-29,1167.0
SKU0058,2025-12-29,80.0
SKU0059,2025-12-29,798.0
SKU0060,2025-12-29,641.0
SKU0061,2025-12-29,439.0
SKU0062,2025-12-29,707.0
SKU0063,2025-12-29,7.0
SKU0064,2025-12-29,962.0
SKU0065,2025-12-29,65.0
SKU0066,2025-12-29,70.0
SKU0067,2025-12-29,585.0
SKU0068,2025-12-29,372.0
SKU0069,2025-12-29,384.0
SKU0070,2025-12-29,314.0
SKU0071,2025-12-29,412.0
SKU0072,2025-12-29,775.0
SKU0073,2025-12-29,52.0
SKU0074,2025-12-29,180.0
SKU0075,2025-12-29,286.0
SKU0076,2025-12-29,96.0
SKU0077,2025-12-29,993.0
SKU0078,2025-12-29,776.0
SKU0079,2025-12-29,28.0
SKU0080,2025-12-29,0.0
SKU0081,2025-12-29,662.0
SKU0082,2025-12-29,0.0
SKU0083,2025-12-29,226.0
SKU0084,2025-12-29,0.0
SKU0085,2025-12-29,131.0
SKU0086,2025-12-29,5.0
SKU0087,2025-12-29,16.0
SKU0088,2025-12-29,136.0
SKU0089,2025-12-29,122.0
SKU0090,2025-12-29,177.0
SKU0091,2025-12-29,637.0
SKU0092,2025-12-29,67.0
SKU0093,2025-12-29,35.0
SKU0094,2025-12-29,20.0
SKU0095,2025-12-29,694.0
SKU0096,2025-12-29,345.0
SKU0097,2025-12-29,67.0
SKU0098,2025-12-29,151.0
SKU0099,2025-12-29,973.0
SKU0100,2025-12-29,768.0
SKU0101,2025-12-29,144.0
SKU0102,2025-12-29,0.0
SKU0103,2025-12-29,783.0
SKU0104,2025-12-29,0.0
SKU0105,2025-12-29,0.0
SKU0106,2025-12-29,0.0
SKU0107,2025-12-29,414.0
SKU0108,2025-12-29,565.0
SKU0109,2025-12-29,0.0
SKU0110,2025-12-29,181.0
SKU0111,2025-12-29,36.0
SKU0112,2025-12-29,113.0
SKU0113,2025-12-29,157.0
SKU0114,2025-12-29,911.0
SKU0115,2025-12-29,204.0
SKU0116,2025-12-29,1042.0
SKU0117,2025-12-29,245.0
SKU0118,2025-12-29,184.0
SKU0119,2025-12-29,680.0
SKU0120,2025-12-29,252.0
SKU0121,2025-12-29,508.0
SKU0122,2025-12-29,196.0
SKU0123,2025-12-29,218.0
SKU0124,2025-12-29,115.0
SKU0125,2025-12-29,0.0
SKU0126,2025-12-29,897.0
SKU0127,2025-12-29,155.0
SKU0128,2025-12-29,1015.0
SKU0129,2025-12-29,953.0
SKU0130,2025-12-29,20.0
SKU0131,2025-12-29,83.0
SKU0132,2025-12-29,353.0
SKU0133,2025-12-29,46.0
SKU0134,2025-12-29,279.0
SKU0135,2025-12-29,51.0
SKU0136,2025-12-29,20.0
SKU0137,2025-12-29,0.0
SKU0138,2025-12-29,55.0
SKU0139,2025-12-29,488.0
SKU0140,2025-12-29,43.0
SKU0141,2025-12-29,32.0
SKU0142,2025-12-29,626.0
SKU0143,2025-12-29,980.0
SKU0144,2025-12-29,152.0
SKU0145,2025-12-29,96.0
SKU0146,2025-12-29,26.0
SKU0147,2025-12-29,128.0
SKU0148,2025-12-29,77.0
SKU0149,2025-12-29,104.0
SKU0150,2025-12-29,631.0
SKU0151,2025-12-29,292.0
SKU0152,2025-12-29,21.0
SKU0153,2025-12-29,73.0
SKU0154,2025-12-29,96.0
SKU0155,2025-12-29,555.0
SKU0156,2025-12-29,350.0
SKU0157,2025-12-29,196.0
SKU0158,2025-12-29,41.0
SKU0159,2025-12-29,59.0
SKU0160,2025-12-29,132.0
