sku_id,date,Total_stock,lead_time_days,reorder_point,Forecast_demand,Coverage,Lead_Time_Points,Coverage_Rating,Total_Points,risk,Action
SKU0001,2025-12-29,97.0,7,37,84.19528027366572,1.1520835809883194,5,2,7,0.7777777777777778,Monitor
SKU0002,2025-12-29,16.0,14,188,59.92679036740931,0.2669924403076569,4,4,8,0.8888888888888888,Order ASAP
SKU0003,2025-12-29,11.0,30,804,94.27153762568462,0.11668421113143074,1,4,5,0.5555555555555556,Fine
SKU0004,2025-12-29,135.0,14,302,93.87878054637835,1.4380246442731197,4,2,6,0.6666666666666666,Monitor
SKU0005,2025-12-29,101.0,7,142,71.42227236331581,1.4141247072933514,5,2,7,0.7777777777777778,Monitor
SKU0006,2025-12-29,191.0,30,256,98.96931224248952,1.9298911518352437,1,2,3,0.3333333333333333,Overstock
SKU0007,2025-12-29,85.0,10,226,61.26432289109549,1.3874306609263838,4,2,6,0.6666666666666666,Monitor
SKU0008,2025-12-29,175.0,21,392,77.77963397373738,2.249946304184068,3,1,4,0.4444444444444444,Fine
SKU0009,2025-12-29,163.0,14,100,89.32490183257777,1.8247990947195436,4,2,6,0.6666666666666666,Monitor
SKU0010,2025-12-29,493.0,21,216,146.01534482051946,3.3763574684975093,3,1,4,0.4444444444444444,Fine
SKU0011,2025-12-29,121.0,21,56,60.50513541752123,1.9998302485405315,3,2,5,0.5555555555555556,Fine
SKU0012,2025-12-29,100.0,14,256,50.95757605254014,1.9624167345969195,4,2,6,0.6666666666666666,Monitor
SKU0013,2025-12-29,238.0,14,147,78.16286769860471,3.0449241053658085,4,1,5,0.5555555555555556,Fine
SKU0014,2025-12-29,173.0,10,189,111.04800250654388,1.5578848434469172,4,2,6,0.6666666666666666,Monitor
SKU0015,2025-12-29,244.0,14,419,110.57286297011028,2.206689719754813,4,1,5,0.5555555555555556,Fine
SKU0016,2025-12-29,536.0,7,194,109.85555450556086,4.87913426328268,5,1,6,0.6666666666666666,Monitor
SKU0017,2025-12-29,35.0,10,26,68.04225647867382,0.5143862330751757,4,3,7,0.7777777777777778,Monitor
SKU0018,2025-12-29,410.0,30,318,67.39776533774935,6.083287746194158,1,1,2,0.2222222222222222,Overstock
SKU0019,2025-12-29,72.0,21,161,76.51128020153593,0.9410377111760134,3,3,6,0.6666666666666666,Monitor
SKU0020,2025-12-29,186.0,14,72,53.369411739072454,3.4851424053420272,4,1,5,0.5555555555555556,Fine
SKU0021,2025-12-29,427.0,7,197,74.52916546203942,5.72930070198475,5,1,6,0.6666666666666666,Monitor
SKU0022,2025-12-29,0.0,14,49,67.79772137491217,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0023,2025-12-29,0.0,21,247,116.54287196771602,0.0,3,4,7,0.7777777777777778,Monitor
SKU0024,2025-12-29,775.0,14,362,77.6580667385704,9.979645805618299,4,1,5,0.5555555555555556,Fine
SKU0025,2025-12-29,120.0,7,116,64.77270090914018,1.8526323329998209,5,2,7,0.7777777777777778,Monitor
SKU0026,2025-12-29,385.0,10,143,64.34445849128213,5.983421246013947,4,1,5,0.5555555555555556,Fine
SKU0027,2025-12-29,0.0,14,124,87.25323557733121,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0028,2025-12-29,0.0,30,502,66.43485592809948,0.0,1,4,5,0.5555555555555556,Fine
SKU0029,2025-12-29,417.0,10,196,73.1365753943825,5.7016615523951515,4,1,5,0.5555555555555556,Fine
SKU0030,2025-12-29,0.0,10,271,80.15484080088248,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0031,2025-12-29,411.0,7,146,88.81049375938761,4.627831493804252,5,1,6,0.6666666666666666,Monitor
SKU0032,2025-12-29,406.0,7,99,55.57989777536917,7.304799329442511,5,1,6,0.6666666666666666,Monitor
SKU0033,2025-12-29,36.0,14,43,96.60816419928926,0.3726393136478299,4,4,8,0.8888888888888888,Order ASAP
SKU0034,2025-12-29,167.0,14,320,91.74356120222394,1.8202912314673891,4,2,6,0.6666666666666666,Monitor
SKU0035,2025-12-29,123.0,10,119,103.17168032944204,1.1921876197735974,4,2,6,0.6666666666666666,Monitor
SKU0036,2025-12-29,79.0,10,54,88.44264826424634,0.8932342207117784,4,3,7,0.7777777777777778,Monitor
SKU0037,2025-12-29,34.0,14,199,85.65995876304264,0.39691823917464986,4,4,8,0.8888888888888888,Order ASAP
SKU0038,2025-12-29,513.0,7,135,96.54865978233902,5.3133829216947825,5,1,6,0.6666666666666666,Monitor
SKU0039,2025-12-29,127.0,7,125,115.38417337262854,1.1006708830842737,5,2,7,0.7777777777777778,Monitor
SKU0040,2025-12-29,704.0,21,407,92.80449196063374,7.585839705890812,3,1,4,0.4444444444444444,Fine
SKU0041,2025-12-29,69.0,21,245,196.22475279864776,0.3516375942172954,3,4,7,0.7777777777777778,Monitor
SKU0042,2025-12-29,541.0,14,236,48.95815845526511,11.050252237210513,4,1,5,0.5555555555555556,Fine
SKU0043,2025-12-29,34.0,7,13,48.299008086125525,0.7039482040577747,5,3,8,0.8888888888888888,Order ASAP
SKU0044,2025-12-29,423.0,14,245,57.07602723049497,7.411167534344378,4,1,5,0.5555555555555556,Fine
SKU0045,2025-12-29,739.0,14,384,60.47469451029812,12.219987318400708,4,1,5,0.5555555555555556,Fine
SKU0046,2025-12-29,738.0,10,228,85.910673799673,8.590317912310553,4,1,5,0.5555555555555556,Fine
SKU0047,2025-12-29,0.0,7,199,117.38021235295999,0.0,5,4,9,1.0,Order ASAP
SKU0048,2025-12-29,327.0,7,152,86.14161475221569,3.796074649176333,5,1,6,0.6666666666666666,Monitor
SKU0049,2025-12-29,0.0,10,178,112.44312590935911,0.0,4,4,8,0.8888888888888888,Order ASAP
SKU0050,2025-12-29,565.0,14,287,110.73242485962234,5.102389843952768,4,1,5,0.5555555555555556,Fine
SKU0051,2025-12-29,277.0,14,323,100.358953808456,2.7600925427010647,4,1,5,0.5555555555555556,Fine
SKU0052,2025-12-29,365.0,10,176,165.46229510257155,2.205940633022969,4,1,5,0.5555555555555556,Fine
SKU0053,2025-12-29,844.0,30,575,129.6638811945501,6.509137257226218,1,1,2,0.2222222222222222,Overstock
SKU0054,2025-12-29,39.0,14,133,74.18523793521626,0.5257110590392327,4,3,7,0.7777777777777778,Monitor
SKU0055,2025-12-29,192.0,21,307,81.39445164958981,2.3588831438606737,3,1,4,0.4444444444444444,Fine
SKU0056,2025-12-29,141.0,7,49,77.29174706447783,1.8242568625389703,5,2,7,0.7777777777777778,Monitor
