sku_id,date,Total_stock,lead_time_days,reorder_point,Forecast_demand,Coverage,Lead_Time_Points,Coverage_Rating,Total_Points,Stockout_Risk,Excess_Ratio,Overstock_Points,overstock_risk,Action
SKU0001,2025-12-29,97.0,7,37,84.19528027366572,1.1520835809883194,1,2,3,0.3333333333333333,1.6216216216216217,3,0.6,Overstock
SKU0002,2025-12-29,16.0,14,188,59.92679036740931,0.2669924403076569,2,4,6,0.6666666666666666,-0.9148936170212766,1,0.2,Monitor
SKU0003,2025-12-29,11.0,30,804,94.27153762568462,0.11668421113143074,5,4,9,1.0,-0.986318407960199,1,0.2,Order ASAP
SKU0004,2025-12-29,135.0,14,302,93.87878054637835,1.4380246442731197,2,2,4,0.4444444444444444,-0.5529801324503312,1,0.2,Fine
SKU0005,2025-12-29,101.0,7,142,71.42227236331581,1.4141247072933514,1,2,3,0.3333333333333333,-0.2887323943661972,1,0.2,Overstock
SKU0006,2025-12-29,191.0,30,256,98.96931224248952,1.9298911518352437,5,2,7,0.7777777777777778,-0.25390625,1,0.2,Monitor
SKU0007,2025-12-29,85.0,10,226,61.26432289109549,1.3874306609263838,2,2,4,0.4444444444444444,-0.6238938053097345,1,0.2,Fine
SKU0008,2025-12-29,175.0,21,392,77.77963397373738,2.249946304184068,3,1,4,0.4444444444444444,-0.5535714285714286,1,0.2,Fine
SKU0009,2025-12-29,163.0,14,100,89.32490183257777,1.8247990947195436,2,2,4,0.4444444444444444,0.63,2,0.4,Fine
SKU0010,2025-12-29,493.0,21,216,146.01534482051946,3.3763574684975093,3,1,4,0.4444444444444444,1.2824074074074074,3,0.6,Fine
SKU0011,2025-12-29,121.0,21,56,60.50513541752123,1.9998302485405315,3,2,5,0.5555555555555556,1.1607142857142858,3,0.6,Fine
SKU0012,2025-12-29,100.0,14,256,50.95757605254014,1.9624167345969195,2,2,4,0.4444444444444444,-0.609375,1,0.2,Fine
SKU0013,2025-12-29,238.0,14,147,78.16286769860471,3.0449241053658085,2,1,3,0.3333333333333333,0.6190476190476191,2,0.4,Overstock
SKU0014,2025-12-29,173.0,10,189,111.04800250654388,1.5578848434469172,2,2,4,0.4444444444444444,-0.08465608465608465,1,0.2,Fine
SKU0015,2025-12-29,244.0,14,419,110.57286297011028,2.206689719754813,2,1,3,0.3333333333333333,-0.41766109785202865,1,0.2,Overstock
SKU0016,2025-12-29,536.0,7,194,109.85555450556086,4.87913426328268,1,1,2,0.2222222222222222,1.7628865979381443,3,0.6,Overstock
SKU0017,2025-12-29,35.0,10,26,68.04225647867382,0.5143862330751757,2,3,5,0.5555555555555556,0.34615384615384615,1,0.2,Fine
SKU0018,2025-12-29,410.0,30,318,67.39776533774935,6.083287746194158,5,1,6,0.6666666666666666,0.2893081761006289,1,0.2,Monitor
SKU0019,2025-12-29,72.0,21,161,76.51128020153593,0.9410377111760134,3,3,6,0.6666666666666666,-0.5527950310559007,1,0.2,Monitor
